OBJECTID,ID,NAME,ST_ABBREV,EDUCBASECY,NOHS_CY,SOMEHS_CY,HSGRAD_CY,GED_CY,SMCOLL_CY,ASSCDEG_CY,BACHDEG_CY,GRADDEG_CY,Shape_Length,Shape_Area
"20,906",64101,Kansas City,MO,281,1,33,30,7,62,11,102,35,"5,997.51","1,581,018.09"
"20,907",64102,Kansas City,MO,0,0,0,0,0,0,0,0,0,"7,014.95","1,263,107.14"
"20,908",64105,Kansas City,MO,3030,59,137,317,94,545,330,885,663,"13,995.39","3,378,584.63"
"20,909",64106,Kansas City,MO,5370,488,838,914,314,958,313,"1,001",544,"13,203.35","6,748,291.28"
"20,910",64108,Kansas City,MO,5720,458,594,999,300,"1,051",416,"1,154",748,"18,800.45","15,662,197.95"
"20,911",64109,Kansas City,MO,6709,307,959,"1,545",299,"1,696",372,791,740,"13,278.31","8,907,383.47"
"20,912",64110,Kansas City,MO,9851,199,879,"1,682",376,"2,094",804,"2,356","1,461","20,318.75","13,044,495.65"
"20,913",64111,Kansas City,MO,12712,280,759,"1,867",533,"2,751",669,"3,637","2,216","16,554.84","11,668,939.42"
"20,914",64112,Kansas City,MO,6293,100,74,495,57,"1,004",173,"2,284","2,106","11,376.36","6,335,884.01"
"20,915",64113,Kansas City,MO,7905,21,43,320,48,"1,007",222,"3,104","3,140","14,727.79","10,744,452.64"
"20,916",64114,Kansas City,MO,18084,274,554,"2,661",498,"4,558","1,240","4,684","3,615","39,021.24","29,859,245.12"
"20,917",64116,Kansas City,MO,11169,357,658,"3,037",453,"2,772",768,"2,082","1,042","38,984.59","46,678,301.65"
"20,918",64117,Kansas City,MO,9181,364,769,"2,544",396,"2,605",624,"1,381",498,"25,704.77","26,125,029.80"
"20,919",64118,Kansas City,MO,27816,633,"1,871","7,080",988,"7,635","2,056","5,158","2,395","35,400.93","55,387,214.14"
"20,920",64119,Kansas City,MO,19337,593,"1,605","4,811",786,"4,733","1,489","3,660","1,660","46,284.13","61,827,707.68"
"20,921",64120,Kansas City,MO,284,54,20,96,21,30,9,45,9,"32,976.45","34,505,454.23"
"20,922",64123,Kansas City,MO,6360,1137,"1,205","1,748",220,"1,020",409,474,147,"18,115.85","8,690,662.21"
"20,923",64124,Kansas City,MO,7243,1287,"1,714","1,611",452,"1,131",334,571,143,"15,793.74","6,926,275.53"
"20,924",64125,Kansas City,MO,1156,141,329,423,88,119,13,27,16,"20,252.37","8,359,356.37"
"20,925",64126,Kansas City,MO,3650,525,960,"1,074",316,548,60,131,36,"21,414.45","11,223,597.70"
"20,926",64127,Kansas City,MO,10869,1302,"2,181","3,100",734,"2,184",535,540,293,"20,014.73","18,563,577.37"
"20,927",64128,Kansas City,MO,7487,522,"1,363","2,241",386,"1,981",430,234,330,"18,212.30","12,653,574.74"
"20,928",64129,Kansas City,MO,5893,428,946,"1,530",333,"1,441",420,499,296,"42,346.11","46,325,011.53"
"20,929",64130,Kansas City,MO,13714,677,"2,452","4,449",557,"3,327",973,824,455,"32,670.25","31,927,421.09"
"20,930",64131,Kansas City,MO,14801,251,953,"3,228",613,"3,922","1,010","2,814","2,010","57,912.50","34,739,639.52"
"20,931",64132,Kansas City,MO,8432,417,"1,252","2,875",502,"1,899",383,713,391,"36,463.27","32,670,269.59"
"20,932",64133,Kansas City,MO,23480,543,"2,045","6,286",887,"6,588","1,619","3,677","1,835","59,302.74","77,511,960.40"
"20,933",64134,Kansas City,MO,12746,346,"1,303","3,998",653,"3,366","1,080","1,286",714,"42,531.54","53,893,607.94"
"20,934",64136,Kansas City,MO,1459,29,134,441,49,430,118,101,157,"22,292.44","21,022,625.26"
"20,935",64137,Kansas City,MO,7341,419,674,"1,758",366,"1,784",425,"1,386",529,"34,221.82","31,967,343.91"
"20,936",64138,Kansas City,MO,16671,425,"1,247","5,096",902,"4,216","1,193","2,379","1,213","45,911.24","58,853,327.34"
"20,937",64139,Kansas City,MO,1254,71,35,251,0,378,87,267,165,"27,507.69","21,512,504.06"
